"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 13:09:27 IST 2024","Thu Jun 06 13:09:31 IST 2024","3985","","LaunchPage.spec.ts","","","","@Web TC002_Validate departure dropdown",""
"passed","Thu Jun 06 12:26:18 IST 2024","Thu Jun 06 12:26:28 IST 2024","10285","","LoginSuite.spec.ts","","","","@Web Naukri App login for JobSearcher",""
"passed","Thu Jun 06 12:44:06 IST 2024","Thu Jun 06 12:44:10 IST 2024","4890","","LaunchPage.spec.ts","","","","@Web TC00_Validate departure dropdown",""
"passed","Thu Jun 06 12:26:34 IST 2024","Thu Jun 06 12:26:38 IST 2024","4592","","LoginSuite.spec.ts","","","","@Web TC001_Validate login with invalid credentials",""
"failed","Thu Jun 06 12:43:32 IST 2024","Thu Jun 06 12:43:36 IST 2024","4312","","LaunchPage.spec.ts","","","","@Web TC001_Validate departure dropdown",""
"passed","Thu Jun 06 13:09:34 IST 2024","Thu Jun 06 13:09:37 IST 2024","2979","","LaunchPage.spec.ts","","","","@Web TC004_Validate departure and destination dropdown",""
"passed","Thu Jun 06 13:09:31 IST 2024","Thu Jun 06 13:09:34 IST 2024","3077","","LaunchPage.spec.ts","","","","@Web TC003_Validate destination dropdown",""
"passed","Thu Jun 06 12:26:28 IST 2024","Thu Jun 06 12:26:34 IST 2024","5713","","LoginSuite.spec.ts","","","","@Web Naukri App login for Employer",""
"failed","Thu Jun 06 12:26:44 IST 2024","Thu Jun 06 12:26:50 IST 2024","6494","","LoginSuite.spec.ts","","","","@Web TC002_Validate login with invalid credentials fail scenario",""
"passed","Thu Jun 06 13:09:15 IST 2024","Thu Jun 06 13:09:23 IST 2024","7592","","LoginPage.spec.ts","","","","@Web TC001_Validate login page",""
"failed","Thu Jun 06 13:09:25 IST 2024","Thu Jun 06 13:09:31 IST 2024","5660","","HomePage.spec.ts","","","","@Web TC001_Validate home page",""
"failed","Thu Jun 06 13:09:22 IST 2024","Thu Jun 06 13:09:27 IST 2024","4895","","LaunchPage.spec.ts","","","","@Web TC001_Validate home page",""
